frame,timestamp_sec,class,confidence,x1,y1,x2,y2
241,10.041,vest,0.7787,640.33,301.49,677.93,351.19
241,10.041,vest,0.7237,601.77,298.44,636.32,346.3
241,10.041,helmet,0.5183,608.18,278.0,631.09,298.41
242,10.083,vest,0.7599,640.29,301.57,677.85,351.06
242,10.083,vest,0.7243,601.61,298.82,636.31,346.47
242,10.083,helmet,0.5215,608.09,278.27,631.09,298.63
243,10.125,vest,0.7177,601.27,299.25,636.22,347.03
243,10.125,vest,0.686,639.79,300.71,677.49,350.75
243,10.125,helmet,0.484,607.74,278.7,630.67,298.91
244,10.166,vest,0.7209,600.49,299.89,636.15,348.04
244,10.166,vest,0.6885,639.52,300.4,677.01,350.0
244,10.166,helmet,0.4415,606.9,279.78,629.22,299.63
245,10.208,vest,0.7494,600.01,300.01,635.51,349.5
245,10.208,vest,0.6803,639.16,300.2,676.72,349.44
245,10.208,helmet,0.4664,605.68,279.91,628.05,300.2
246,10.25,vest,0.7687,599.21,300.32,635.1,350.01
246,10.25,vest,0.704,639.27,300.39,676.55,349.57
246,10.25,helmet,0.4811,604.69,279.94,626.98,300.67
247,10.291,vest,0.7666,598.47,300.23,634.69,350.04
247,10.291,vest,0.7004,639.03,300.39,676.34,349.7
247,10.291,helmet,0.4582,603.96,279.52,626.19,300.3
248,10.333,vest,0.7643,597.72,299.98,633.99,349.91
248,10.333,vest,0.7464,639.08,300.79,676.24,349.85
248,10.333,helmet,0.5381,602.9,278.91,625.47,299.77
249,10.375,vest,0.798,638.97,301.07,676.35,350.17
249,10.375,vest,0.7814,596.52,298.6,633.5,349.43
249,10.375,helmet,0.557,602.27,278.22,624.85,298.72
250,10.416,vest,0.7987,638.9,301.39,676.25,350.43
250,10.416,vest,0.7818,596.02,297.91,633.32,348.93
250,10.416,helmet,0.5366,601.68,277.85,624.52,298.37
251,10.458,vest,0.8165,638.68,301.7,676.05,350.84
251,10.458,vest,0.792,595.14,297.46,633.15,348.26
251,10.458,helmet,0.495,601.64,277.63,624.41,297.89
252,10.5,vest,0.8232,638.59,302.05,676.42,351.56
252,10.5,vest,0.7807,594.37,297.61,632.81,348.04
252,10.5,helmet,0.4907,601.11,276.96,624.5,297.81
253,10.541,vest,0.8498,638.82,302.74,676.43,352.6
253,10.541,vest,0.7904,593.18,297.23,632.37,347.77
253,10.541,helmet,0.5208,600.82,276.26,624.57,297.34
254,10.583,vest,0.8556,639.01,302.84,676.74,353.11
254,10.583,vest,0.7998,592.57,296.71,632.05,347.42
254,10.583,helmet,0.5312,600.68,276.1,624.61,297.21
255,10.625,vest,0.8587,639.35,302.93,676.89,353.14
255,10.625,vest,0.8131,592.23,296.74,631.73,347.18
255,10.625,helmet,0.5609,600.63,276.09,624.64,297.28
256,10.666,vest,0.8608,639.79,303.01,677.33,353.17
256,10.666,vest,0.8158,591.81,297.09,631.1,347.35
256,10.666,helmet,0.5334,600.53,276.31,624.49,297.47
257,10.708,vest,0.8591,640.27,302.9,677.97,352.94
257,10.708,vest,0.8223,591.59,297.32,630.74,348.67
257,10.708,helmet,0.5337,600.45,276.48,624.35,297.63
258,10.75,vest,0.8577,640.62,302.4,678.63,352.62
258,10.75,vest,0.8366,590.95,297.59,630.6,349.82
258,10.75,helmet,0.5234,600.51,277.07,624.1,297.83
259,10.791,vest,0.8544,640.61,302.02,678.86,352.24
259,10.791,vest,0.8436,590.89,297.87,629.88,349.84
259,10.791,helmet,0.4919,600.57,277.39,623.98,297.9
260,10.833,vest,0.849,640.69,301.53,678.97,351.57
260,10.833,vest,0.8397,590.65,298.27,629.53,350.2
260,10.833,helmet,0.5262,600.74,277.62,623.98,298.21
261,10.875,vest,0.8451,641.46,301.09,679.77,351.29
261,10.875,vest,0.8421,590.43,298.92,629.47,350.79
261,10.875,helmet,0.5834,600.9,278.22,624.2,298.77
262,10.916,vest,0.846,641.75,300.93,680.25,351.39
262,10.916,vest,0.8449,590.54,299.71,629.68,351.14
262,10.916,helmet,0.6292,601.06,278.56,624.42,299.26
263,10.958,vest,0.846,590.73,300.52,630.51,351.87
263,10.958,vest,0.8445,642.05,300.72,680.55,351.45
263,10.958,helmet,0.6536,601.23,278.65,624.67,299.49
264,11.0,vest,0.8458,590.83,300.68,630.69,352.21
264,11.0,vest,0.8389,642.38,300.61,681.02,351.66
264,11.0,helmet,0.6762,601.4,278.5,625.16,299.56
265,11.041,vest,0.8442,591.33,299.32,631.41,352.49
265,11.041,vest,0.8346,642.9,300.59,681.26,351.79
265,11.041,helmet,0.7027,601.81,277.97,626.01,299.37
266,11.083,vest,0.8417,591.37,298.61,632.0,352.48
266,11.083,vest,0.8295,642.99,300.78,681.31,351.88
266,11.083,helmet,0.693,602.21,277.62,626.59,299.04
267,11.125,vest,0.8372,591.43,298.07,632.45,352.25
267,11.125,vest,0.8319,643.15,300.9,681.5,352.01
267,11.125,helmet,0.7166,602.1,276.64,626.9,298.45
268,11.166,vest,0.8325,591.46,297.06,632.61,351.68
268,11.166,vest,0.831,643.16,301.07,681.46,352.16
268,11.166,helmet,0.7121,602.29,276.14,626.96,297.86
269,11.208,vest,0.8364,591.47,296.46,632.87,351.45
269,11.208,vest,0.8302,643.08,301.34,681.29,352.57
269,11.208,helmet,0.7238,602.34,275.64,626.9,297.4
270,11.25,vest,0.8344,591.19,296.67,633.48,350.89
270,11.25,vest,0.8262,643.1,301.7,681.0,353.12
270,11.25,helmet,0.7331,602.17,275.15,626.72,297.03
271,11.291,vest,0.8348,591.31,296.22,633.85,350.55
271,11.291,vest,0.8312,643.17,301.78,680.88,353.54
271,11.291,helmet,0.7684,602.03,274.43,626.81,296.62
272,11.333,vest,0.8368,642.92,301.93,681.12,354.27
272,11.333,vest,0.8306,591.33,295.96,634.01,350.35
272,11.333,helmet,0.7798,601.74,273.9,626.75,296.45
273,11.375,vest,0.8392,642.65,302.13,681.07,354.95
273,11.375,vest,0.8304,591.96,295.43,634.13,350.48
273,11.375,helmet,0.7818,601.55,273.92,626.58,296.54
274,11.416,vest,0.8332,641.94,301.8,681.18,355.16
274,11.416,vest,0.8261,591.9,295.64,634.09,350.63
274,11.416,helmet,0.7698,601.26,274.02,626.17,296.62
275,11.458,vest,0.827,641.44,301.53,681.13,355.18
275,11.458,vest,0.8244,591.88,295.75,634.09,351.03
275,11.458,helmet,0.7642,601.05,274.17,625.93,296.78
276,11.5,vest,0.8158,640.56,300.88,681.01,354.66
276,11.5,vest,0.8097,592.01,296.26,634.0,351.84
276,11.5,helmet,0.7378,600.64,274.48,625.65,297.22
277,11.541,vest,0.8324,638.73,300.8,680.67,353.69
277,11.541,vest,0.8269,591.44,298.04,632.74,351.7
277,11.541,helmet,0.7223,599.91,274.93,624.79,297.66
278,11.583,vest,0.8386,638.83,300.05,681.0,353.43
278,11.583,vest,0.8375,590.95,298.7,632.11,352.23
278,11.583,helmet,0.7234,599.12,274.95,624.57,298.04
279,11.625,vest,0.8489,590.31,299.46,631.83,353.01
279,11.625,vest,0.8422,638.6,299.33,681.12,353.13
279,11.625,helmet,0.7054,598.24,275.37,623.44,298.58
280,11.666,vest,0.8538,589.0,299.64,631.25,353.77
280,11.666,vest,0.8488,637.72,299.24,680.46,352.57
